SurveyId,Region,SurveyDate,SurveyAreaLatitudeStart,SurveyAreaLongitudeStart,Rubbish_Count,count_same,date average,Current_Speed,Current_Direction,Water_Temperature
1,Northland,09/10/2023,-34.33477328905267,173.39805909915472,92,112,0.9223143570942804,0.5496714153011233,150.26796113356045,15.026003783755813
2,Gisborne,12/08/2021,-34.052893853605724,166.82565378467,101,112,1.4979795588323852,0.4861735698828815,79.95881176946288,17.907068154314633
3,Wellington,08/27/2019,-46.27367498919445,166.4786842792679,80,112,1.5496846313430546,0.5647688538100692,43.15153224012581,14.470686333524087
4,Northland,03/04/2023,-37.418537761716884,167.74007754440822,87,112,1.9865905772879895,0.6523029856408026,121.54146170530606,20.440338333179238
5,Gisborne,03/19/2021,-39.90309498785514,166.17773554275095,112,112,2.133944526683747,0.4765846625276664,339.4474934085069,16.251334695530012
6,Northland,07/06/2018,-37.82419070957697,166.979667784582,96,112,3.998910110371347,0.4765863043050819,116.35305552747188,13.285684887167434
7,Wellington,01/31/2021,-34.40752472833625,174.99228716319587,85,112,1.746934995246665,0.6579212815507391,186.76462382761179,12.858215003877776
8,Wellington,05/21/2022,-38.05560986772449,172.94650157538302,90,112,2.3411591422068967,0.5767434729152909,253.08682520226404,15.96494483048637
9,Wellington,12/03/2022,-36.11946963491414,175.74883974310964,111,112,3.1248799352552616,0.4530525614065048,130.90665685654582,14.553074429348298
10,Northland,10/25/2018,-35.730706830959065,177.87115477934935,101,112,1.8886297372008465,0.5542560043585965,349.84154977954586,16.428000988184184
11,Northland,02/02/2019,-36.09975007106819,173.60694392023115,95,112,4.182824066461665,0.4536582307187538,346.48102617916004,15.94647524914709
12,Wellington,01/26/2021,-41.46081082438977,175.43957097293404,96,112,2.9372680211703717,0.4534270246429743,90.6416264971311,14.854342174686254
13,Northland,05/09/2021,-44.1065065715766,175.84205562655194,99,112,1.4702233961048576,0.5241962271566034,179.00946212125876,13.30641256386319
14,Wellington,07/25/2024,-41.84352917459473,170.91205714058523,107,112,3.570295998949141,0.3086719755342202,108.31619153403707,11.970305550628272
15,Wellington,03/16/2018,-35.405340185901906,169.13410282028522,102,112,2.6382386507239293,0.32750821674869673,102.54257797588834,14.106970095865957
16,Gisborne,11/03/2022,-45.09413731800367,168.66558927058483,96,112,2.6722794562862346,0.4437712470759027,13.279301047631806,16.712797588646943
17,Northland,08/14/2019,-40.32675980699889,169.2687517136534,115,112,2.4054397419379296,0.39871688796655763,219.44316023276286,15.428187488260408
18,Wellington,03/29/2020,-43.968035058481135,169.57151336133683,92,112,2.4850597441062448,0.5314247332595274,180.96444836239013,12.508522442576023
19,Wellington,04/24/2022,-39.44302957605183,168.69395943710472,95,112,3.8267814053312033,0.4091975924478789,18.532350449996166,15.346361851702364
20,Northland,03/27/2020,-35.77919921414295,177.4168686772295,96,112,0.5149073966565776,0.3587696298664708,100.31272712518012,15.770634759457673
21,Gisborne,04/23/2022,-35.555320407700584,175.84098871823898,112,112,1.6718140565524109,0.6465648768921554,326.97571894799535,13.232285127597734
22,Gisborne,05/31/2019,-43.92309248213298,166.60965408128587,110,112,0.3775168190194461,0.47742236995134646,86.24228064011007,15.307450211891055
23,Wellington,06/16/2023,-35.199981817468895,169.492742266329,111,112,3.7662311037372542,0.5067528204687923,52.16215395284031,15.116417436892
24,Northland,09/04/2019,-39.3054463953233,166.2884016463939,102,112,1.3615092736014973,0.3575251813786543,176.20299369992267,12.714059404338753
25,Gisborne,04/30/2020,-42.447162792895924,172.4761474263966,100,112,4.487152049094421,0.44556172754748175,354.83416347981625,15.715574720696566
26,Northland,09/27/2020,-37.7936444574184,172.19073905825718,110,112,2.6328923332964687,0.5110922589709866,87.13989774414014,16.12156905273647
27,Northland,10/12/2020,-40.7383291564665,176.80782937081253,101,112,4.0037488574306055,0.3849006422577697,241.96879706611628,17.166102486350553
28,Wellington,04/11/2023,-42.08616132841069,170.00110411702363,111,112,4.894657178079806,0.5375698018345672,274.1830615183383,17.107604104069807
29,Gisborne,02/26/2023,-37.83390326414342,176.61301455776982,90,112,4.198944297282853,0.4399361310081195,85.54951583726388,12.244661264085817
30,Wellington,10/14/2019,-43.766585992406256,178.5836589507177,101,112,4.334968800057617,0.4708306250206723,262.15788550026946,13.124349920169754
31,Gisborne,03/27/2019,-42.70671712275172,167.1493069037534,108,112,2.0399224768242235,0.4398293387770603,132.40192777893117,16.03007053441732
32,Gisborne,07/11/2023,-41.352126021652474,176.29363191310523,100,112,2.758612976296699,0.6852278184508938,227.6300990136886,16.027571901824416
33,Gisborne,04/26/2018,-43.7021317396492,173.66942666278928,95,112,1.2694428202165216,0.4986502775262066,228.0706958739221,16.030095372612095
34,Gisborne,12/18/2022,-41.73237287184158,172.2405975712402,96,112,0.980565498467264,0.39422890710441,192.87888626691304,22.70546298130944
35,Gisborne,07/10/2023,-39.57085067233486,171.46696512264597,101,112,2.527539395530169,0.5822544912103189,32.50431721958699,16.141781021386333
36,Northland,07/21/2023,-37.36733980816131,176.20068743127604,90,112,2.975244898502103,0.37791563500289777,300.7088984121257,17.271131280361196
37,Wellington,04/10/2021,-37.02646690958857,174.31169764066516,84,112,1.6963562294809549,0.5208863595004756,115.4808233898249,16.908003526986406
38,Northland,03/23/2019,-36.30372542560299,176.46558067775172,99,112,2.8472175888175015,0.3040329876120224,67.14666374394753,16.302782502611596
39,Gisborne,07/31/2024,-37.325248459737125,177.74096376279613,109,112,4.437302412567515,0.36718139511015696,14.67905095971501,14.369461510719308
40,Wellington,03/11/2019,-38.146487447740185,174.0244282572648,112,112,2.7836079239168305,0.5196861235869124,212.72145954776704,16.517938440986534
41,Gisborne,06/20/2022,-43.912415873197894,178.7460154262009,97,112,3.6040654815525333,0.573846657999541,243.92317026322166,13.454349570924856
42,Wellington,02/04/2021,-41.797102392663675,173.9051420440445,96,112,4.026574836789526,0.5171368281189971,5.971618414028215,14.526362786519982
43,Northland,11/01/2020,-40.78970641855704,174.27637618108966,107,112,4.943643909777214,0.48843517176117596,184.35350098774114,14.029272904341793
44,Wellington,10/09/2022,-45.9224128179864,173.21260291104895,109,112,3.015987010884898,0.4698896304410711,81.53847907125767,15.163748278772646
45,Wellington,09/16/2018,-40.13118842313628,167.1830271836673,108,112,4.03425074481293,0.35214780096325726,232.26220454740195,19.629317133347016
46,Wellington,07/26/2023,-41.327634189114775,175.44316142445297,111,112,4.813246592774373,0.4280155791605291,62.771914441796916,11.265469614816503
47,Wellington,04/08/2019,-36.57257976265246,173.11680198968844,92,112,4.722048627886367,0.45393612290402124,248.73758571688774,16.372520380749027
48,Wellington,08/22/2019,-34.287291306194476,171.86183581640935,116,112,0.7054092438885678,0.6057122226218916,139.22472466819346,11.774568257620697
49,Gisborne,10/23/2020,-39.7719344976464,177.83612661924255,103,112,2.03196154136761,0.5343618289568461,337.22279594522445,14.056136268421133
50,Wellington,03/26/2024,-42.80507695239141,169.87347287004536,99,112,1.619950305533998,0.3236959844637266,49.507539892557574,17.177901193934733
51,Wellington,12/14/2023,-46.435789817123755,172.80682958819514,115,112,0.4346250747517466,0.5324083969394795,122.78388637809306,15.128560038190926
52,Northland,07/18/2020,-34.97963670709325,175.06934432941503,101,112,3.1662038745548027,0.4614917719583683,40.85046764661207,12.844510444141388
53,Wellington,02/20/2023,-35.051495701377426,176.35413308376042,102,112,3.6795230659800113,0.4323077999694041,332.8897025802826,13.569392581480063
54,Northland,08/16/2018,-43.711127816139864,171.97150850330024,97,112,4.240640477334417,0.5611676288840868,315.8421672171532,16.35919549786935
55,Gisborne,06/12/2023,-37.95965539961358,176.94718839524322,81,112,0.6138844483135425,0.6030999522495951,92.85898597745602,13.539266736565727
56,Wellington,09/14/2020,-46.019350887833,175.99593063710017,101,112,4.382220379376469,0.5931280119116199,237.59425657230446,15.43291717916395
57,Northland,09/15/2021,-44.83919938517971,166.86106771207426,95,112,3.214627818071266,0.41607824767773616,294.1999920724377,15.091143679807628
58,Northland,10/10/2022,-44.18148161437561,166.59619646326024,106,112,3.5197306756925473,0.46907876241487856,199.87229217580645,13.696799304788366
59,Gisborne,01/29/2024,-43.17157869108741,174.07047389748718,114,112,4.55312001770152,0.5331263431403565,190.67420820816233,19.28788817865065
60,Wellington,09/03/2020,-34.05419212461818,170.51637430693037,107,112,3.1238063552162556,0.5975545127122359,87.0668247241626,16.267838044636022
61,Wellington,12/21/2021,-37.93997427377041,168.71870028402068,106,112,1.6793292857491755,0.452082576215471,33.51699641012372,10.949714826684787
